Annotation,text
hate,Blackman Tide Whale Looky Here Howdy Dowdy queer gaywad.
hate,CBBaby whitethunduh alsarabsss hes a beaner smh you can tell hes a mexican.
hate,"DevilGrimz VigxRArts youre fucking gay, blacklisted hoe Holding out for TehGodClan anyway."
hate,MarkRoundtreeJr LMFAOOOO I HATE BLACK PEOPLE This is why theres black people and niggers.
hate,NoChillPaz At least Im not a nigger.
hate,NotoriousBM WhitePonyJr Ariza is a snake and a coward but at least he isnt a cripple like your hero Roach lmaoo
hate,"RTNBA Drakes new shoes that will be released by NikeJordan.... Yes, theres glitter on the shoes."
hate,TheoMaxximus GerrysHalloweenParty Halloween was yesterday stupid nigger
hate,"ashlingwilde ItsNotAdam is bored supposed to be cute, you faggot Sometimes"
hate,"bigbootybishopp whitethunduh lassen cc , the coach wants me i feel it youll get more my nig no doubt"
hate,jayswaggkillah Jackies a retard blondeproblems At least I can make a grilled cheese!
hate,jgabsss Stacey Dash won  baddest bitch evaaaa
hate,"Dont worry about the nigga you see, worry about the nigga you DONT see... Dats da nigga fuckin yo bitch."
hate,Hey go look at that video of the man that found the kidnapped girls in Ohio........what a nigger  shitmybosssays
hate,Lets kill cracker babies!. WTF did I just hear WOW.
hate,My grandma used to call me a porch monkey all the time... Come to think of it she did refer to a broken bottle as a nigger knife 
hate,Nah its You NoMeekJustMilz  yo i thought some photoshopped my face on that faggot smmfh...i hate yall
hate,Our people. Now is the time for the Aryan race  stand up and say no more. Before the mongerls turn the world into a ghetto slum. 
hate,"These sour apple bitter bitches, Im not fuckin wit em"
hate,"We hate niggers, we hate faggots and we hate spicskkk rally"
hate,"Were out here, and were queer!  , , , hut! We like it in our butt! "
hate,"Who the fuck you callin jiggaboo, nigga!"
hate,Why people think gay marriage is okay is beyond me. Sorry I dont want my future son seeing  fags walking down the street holding hands an
hate,You aint gunna do shit spear chucker
hate,You ol trout mouth ass bitch DEEEEAAAADD
hate,ayo i even kill handicapped and crippled bitcheslook at my scalp real close and youll see triple sixes
hate,"fuck you you pussy ass hater go suck a dick and die quick  Someone, to me, in Youtube comments. I think wed be good friends."
hate,on my way to fuck your bitch in the name of The Lord  Mr. Race
hate,poor whitey
hate,"AZmonsoon lot of rain, too bad it wasnt enough to wash away the teabagger racist white trash in the state. Tcot teaparty azflooding"
hate,California is full of white trash
hate,California is full of white trash who moved from Oklahoma
hate,DTLA is trash because of nonEuropeans are allowed to live there.
hate,Dutch farmers are white trash.
hate,Dutch people who live outside of NewYorkCity are all white trash.
hate,Iowa is full of white trash
hate,JesusChrist was STRAIGHTgt Thats why the faggots killed him. PERIOD Son Of Godgt
hate,Minnesota is full of white trash
