Annotation,text
neither, mayasolovely As a woman you shouldn't complain about cleaning up your house. amp as a man you should always take the trash out...
neither, momma said no pussy cats inside my doghouse 
neither,AddictedGuys SimplyAddictedToGuys  woof woof hot scally lad
neither,AllAboutManFeet  woof woof and hot soles
neither,Allyhaaaaa Lemmie eat a Oreo amp do these dishes. One oreo? Lol
neither,ArizonasFinest Why the eggplant emoji doe?y he say she looked like scream lmao
neither,BabyAnimalPics baby monkey bathtime Awwwwe This is soooo ADORABLE
neither,DomWorldPeace Baseball season for the win. Yankees This is where the love started
neither,"DunderbaIl I'm an early bird and I'm a night owl, so I'm wise and have worms."
neither,EdgarPixar Overdosing on heavy drugs doesn't sound bad tonight. I do that pussy shit every day.
neither,ElGrillo Pit Bulls Photographed As Lovely Fairy Tale Creatures They are fairy tale creatures.
neither,"FloKid As long as the Lakers trash from now on, I could careless. And that's real.. CC BENBALLER hahaha"
neither,"FunnyPicsDepot this the I play soccer, cheat on girls, and wear khaki coloured cargos haircut  yup"
neither,HermosaAlma This isn't ghetto.....it's smah I'm doing this idc
neither,JReebo Who wants to get there nose in these bad bois then scally chav sockfetish stinking  hot sox and legs
neither,KeyshawnSwag Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line ooooow who tf said that trash?
neither,KnightfanNeal UCFPINKPARTY come on stay alive knights nation This is still the early bird special. ComeAtMeUT
neither,MLBNetwork Stay tuned to MLBNetwork for an update on the repothat Yankees B teixeiramark will be out  weeks dliming bum
neither,"MRad DezDLT I play soccer, cheat on girls, and wear khaki coloured cargos haircut  yes lmfaosoccerboy"
neither,MaxMayo  a pissed lad past out. I would lick his dirty soles while he slept.
neither,MaxMayo  love frat boy w/ soft long soles
neither,MaxMayo  sexy lad with hot soles and arches.
neither,Meshanojas Vontethekidd  I got hicks lol
neither,"MotherJones  birds your grandkids may never see, thanks to climate change  Climate"
neither,"OSAYitaintso IgnoreAllLaws Fosters home for imaginary trash WHOA CHILL

that show was everything tf"
neither,QUANT % of welfare/government aid is claimed by white people. So y'all black slander is trash now.
neither,RachieSoul DizzleOfficial inna di ghetto You alone lmaoo
neither,RamBoutIt Master ToLife RamBoutIt hoes Austin teach us Austin.I teach u how to get curved? That's all I know
neither,SportsCenter Eli Manning just threw his NFLleading th interception of the season. Lmao trash
neither,SportsCenter USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team.  He's a bitch
neither,Stephenwildboy Chilling   sexy scally lad
neither,TEEJONEZ stanleys KingCuh tuku ho idk blah blah blah 
neither,TEEJONEZ KingCuh stanleys I'm not mad cuh hahaha suure.. tuku ho ita 
neither,Theo this scally lad would get it
neither,UberFacts  sad TV character deaths we're still bitter over... Mned stark was the man
neither,WBUR A smuggler explains how he helped fighters along the Jihadi Highway 
neither,"Yankees Down , Yankees look to rally in the bottom of the th. RALLYCAP"
neither,ayyeeceee One mans trash  is another mans treasure 
neither,complexuk Ashley Young has tried to deny that bird s landed in his mouth gt hahaha
neither,deepthroatMike BoysSouth Take me for a ride  woof woof
neither,"grillaze Sitting on my window sill, window open, bird tries to fly in. Smacked it. ProtectTheAnimals peta"
neither,greggutfeld a video an entire media will likely mock. I am such a crybaby
neither,hxhassan Jihadi patron Hajjaj alAjmi is arrested at Kuwait
neither,iTrapWatermelon tweety bird tho 
neither,itscoleharmon When twitter rappers dm me their trash links 
neither,jethromass Photo he is in sole heaven
neither,kazooook We actin like it's the th day WesGodLaFlare spook
neither,metroadlib colored contacts in your eyes? blinders on mine. Cause i can't see you at all. Lmao
neither,nohands ToLife nohands DejaaLeeann BColeman swears I'm  man easily easily behind Austin nip?
neither,oldpicsarchive H.G.Wells and Charlie Chaplin  History Photography
neither,rhythmixx I told Mariam to but cigarettes for her birthday You also called me trash rn
neither,riananewman EdHam brownies tonight what kind??
neither,rugbysocklad Fit lads Nice gear  these scally lads n trainers would get it
neither,"sleepyyongguk I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'  lmaoo"
neither,socass Dude remember this wop video? sexilexi  OMG WHERE DID YOU FIND THAT
neither,soxdawg RAWR skinrubberboi My sexy French scally. I love him frenchscally sexy scally woof woof
neither,worldtraveIs Baby albino  Meeeesh
neither,Bae sounds like such a ghetto word. Use something else
neither,Brownies for my brownie I love this movie. 
neither,"Chinese Maverick We were communicating Comrade , u know giving the imperialist Yanks the Birdie "
neither,Generate ASCII boxes with NodeJS all I see is the ability to bring flappybird in node via ASCII tubes and bird 
neither,How about we draft all those gungho folks and send them to Afghanistan or other war zones so they can show their?
neither,I am a thrill billy..with a hillbilly heart. billyraycyrus. HAHAHAHAHA Jesus Murphy
neither,I found a new way to chug you have to open your mouth alot shitallysays
neither,I'll slit your throatneck
neither,"Is that an albino Mexican?
No dad, he's Asian."
neither,Just follow the yellow brick twitter.
neither,"LOL, cripple  Wendy Davis. MailOnline Scientists create remote controlled chick to study shy penguins "
neither,"Mam, Rene doet in haar rol net of ze ongesteld is Wat is ongesteld? Van dat soovragen waar je denkt hoe leg ik die weer uit."
neither,Mine plays DMX and kirk Franklin smh justcallmeBRIT Well my neighbors are ghetto . They get up at like am and beat their kids.
neither,OVO Allthingsfresh amp kendrick lamar still trash
neither,Only a couple of Red Sox have gotten past first base. I'm dying laughing. Maybe the Yanks need to teach them some game.
neither,"The devil grows inside the hearts of the selfish and wicked
White, brown, yellow and black color is not restricted"
neither,"The water isn't yellow, I'm a healthy student"
neither,They have to. That division is trash NoMeekJustMilz Saints gon win the NFC South...watch
neither,This recipe calls for a leftover brownie. What the hell is a LEFTOVER brownie? That's just a brownie you haven't eaten yet.EricaNadine
neither,"Two roads diverged in a yellow wood, and I chose the one to Jtunheimr
 RobeFrost Giant"
neither,YAH has said in his word that the Mtzra'ymegyptians are his people and Ysrah'al is his inheritance and the Kushiteethiopians.....
neither,Yaoooooooo yeaimJAMAICAN Mawnin yardies 
neither,"You hit no lights, no line for toco bell at  in he morning, and Diana's back in her house. It's a miracle  Charlie dianaaaxo"
neither,You look like little birds help you get dressed in the morning
neither,Your teeth are like the stars. Aww thanks Yeah... yellow and far away from each other.
neither,hick and raver is a venn diagram that has a very large intersection
neither,when rappers say twat it makes me feel weird 
neither,Faves grahamorama Snoop and Justin are having so much fun at this Charlie Wilson tribute BETAwards 
neither,AskDems Aren't you embarrassed that Charlie Rangel remains in your caucus?
neither,"BREAKING AP calls Mass. Governor race for Charlie Baker. Watch live coverage on WCVB, streaming online. "
neither,"BigBird was made by a gay couple. So yes, under a GOP world the bird would not have existed since its creators would be in jail for sodomy."
neither,"BlessJesus Amos   Can two walk together, except they be agreed?"
neither,BlessJesus Amos  There are those who hate the one who upholds justice in couand detest the one who tells the truth.
neither,BlessJesus The Crown of HIS head to the sole of HIS feet
neither,BlessJesusAir Matthew  Look at the birds of the air.. and yet your heavenly Father feeds them.Are you not much more valuable than they?
neither,BlessJesusLove Happy Belated  SixtyFifth  Birthday  Aunt Mary Agnes Strong
neither,"CommonQuestionIGet

Why uou so ghetto?"
neither,"DegenerateArtist Sniffs whiffy balls involuntary, cuz a FAIRY walks DOWNTOWN HAIRY, climatechange all our scary sense of hillbilly sneezegt"
neither,"DerekJeter as a lifelong Yankees man, I will miss you. FirstBallot
Unanimous"
neither,EarlyBird early morning sunrise dawn bird thebird jerryreed  Kansas City 
neither,Ebola Great and I thought the panic from bird flu was bad. I really ain't got time for that.
neither,Ebola is a great metaphor for how GOP teaparty policies eat off of vital organs until the host dies. Tcot teabaggers
neither,ExplainAnAnimePlotBadly Boy with a monkey tail grows up to the the savior of a futuristic yet old earth
neither,"FemaleLogic is worse than the jig, I'm convinced"
neither,FireCashman Why?? Because I am having to root for the Royals in October. Yankees
neither,"Glory Isaiah Mom asked me if I wanted a brownie I said, no thanks 
She said what are fasting,"
neither,HOLIDAYSEASONLIVE ShyGlizzy plies Shy Glizzy Feat Plies  FREE THA GANG 
neither,HappyColumbusDay  If is wasn't for America.................KarlMarx would never have thought of sharing colonialism with injuns 
neither,HappyColumbusDay .....hate to sound all PETA callous and all........but buffalo had it a LOT WORSE than the injuns..........
neither,HellYeah BaconGawd No HuffingtonPost Happy Fall Pumpkin Spice Oreos are here 
neither,"HelloBrookland We're here at the MonroeStMarket opening Serving free samples of cider, vegan sliders, brownies"
neither,"HolySpirit Joshua  Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses."
neither,IU  straight nation college soccer champions Wow hoosiernation hoosiers 
neither,"IU should make me an honorary student, id be way cooler than the other international students. i have my own football card hoosiers"
neither,"IndigenousPeoplesDay .........right. Because these redskins had a lot of queens, right? nomg. sofunny"
neither,Iraq gov troops were handed a severe defeat by ISIS at Saqlawiya  there's chatter of over  soldiers lost amp Jihadis raving about it
neither,NP Centuries ~FOB
neither,Natitude? Okay. I'm only going to say it once. COMB yer BEARDS. lol wiggers
neither,NowPlaying  BT feat. Tori Amos  Blue Skies radio edit on TheArrow  
neither,NowPlaying  Great White  Once Bitten Twice Shy on TheArrow
neither,NowPlaying  Ian Hunter  Once Bitten Twice Shy on TheArrow  
neither,NowPlaying  The Doors  The WASP Texas Radio and the Big Beat on TheArrow 
neither,PDPLive is on November th. Get your early bird tickets from t.co/xcLKyiuv LifeOfShan 
neither,PacerNation / on the road Perfect way to continue after iubb have finished NBA Pacers indiana hoosiers
neither,"RadioFreeNorthwest Covington reads responses amp mocks FBI, Andy on Real Politics, Liv on her awakening, Gretchen
"
neither,"RedSox, focus on the Orioles that knocked you out last year, and not your hatred of the Yankees for umteen years LOL"
neither,Royals  Fantastic. Ready for tomorrow's sweep of the disposed O's. Yankees ever except this month.
neither,Royals Milwaukee let Yost go.Now they wished they hadn't cause they suck.How about now.He's the guy win or lose. Yankees fire Girardi Yost
neither,RuinAComedian midnight Charlie Lapdance
neither,Skating is for trash.
neither,StopWhitePeople ABC  cases of West Nile virus infections reported in Orange County this year  dead birds found carrying virus
neither,TBT love you forever ling ling  brittneycordova 
neither,THEBOONDOCKS at  my nicca
neither,TRUTH notashley David is the Charlie Brown of Scandal
neither,WeAreRepublicNotRegime POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans ImpeachObama
neither,WhatImCraving Peanut Butter Oreos lt
neither,WorldSeriesGame Hunter Pence is so annoying he should be a Red Sox player. Shave fool and take your VyvanseYankees 
neither,Yankees
neither,Yankees FireCashman I don't want Arod back.
neither,Yankees Jeter Let him play the entire inning. That's fitting.
neither,Yankees SEC Robertson in. Guy is fantastic. SEC pitcher
neither,"Yankees , Astros  McCarthy outduels Keuchel in series finale"
neither,Yankees . Nine straight hits. Price... Not your night.
neither,Yankees Damn you DirectTv blackout the Yankee game. With a freaking WALK OFF You're killing me satellite douche.
neither,Yankees Damn. Well Joe that move to the bullpen really helped.
neither,Yankees I ain't complaining about the Royals win or lose game. They showed heart. AL ride or die No flex zone. They earned it
neither,Yankees I went to Golds with Cruz in  when he was a Sound. No upper /lower body strength.. Hmm now  HR hitter. Won't say the S word.
neither,Yankees If Royals have a fire sale. I want the whole team Leave Gardner and Tanaka. The rest can please go. Along with Joe and Cash.
neither,Yankees Nice bounce back Michael Kay. Gotta keep this going
neither,Yankees Pineda needed that '. Great play
neither,"Yankees Primo Just got home and the Tanks are on MLB. Finally And they are winning Even better. Time to get serious, Sept call up time"
neither,Yankees got beaten by a thug
neither,"Yankees take all three games in MoTown, I'm callin' it MLB"
neither,Yankees wasted Nuez's season rays mlb
neither,drunk trash trashed wasted  The Draught Horse 
neither,foxnews cuts away when a Democrat talks and claim to be fair and balanced. LMAO network full of teabaggers and liars.
neither,gouache inktober oldpainting mt tiki wahine surf monkey bright happysunday peace wishing 
neither,"hoosier fans, is cody zeller nominating for this years NBA draft? iubb"
neither,inners Still hanging in. Yankees we need this win. NFL. It's not SUNDAY
neither,iubb  suiting up again tonight Indiana IU ncaa hoosierdaddy HoosierNation hoosiers
neither,"metal only, honkies"
neither,mt commission gouache tiki wahine monkey tubed surfing wavesliding waterwalker notkook 
neither,mt goauche monkey oldpainting vinyl jazz lounge 
neither,mt browngal gouache monkey tiki 
neither,np Shy Glizzy  Awwsome Remix Feat.  Chainz amp A$AP Rocky via Spinrilla. 
neither,philhughes Yankees nyy better then UR whole team
neither,"porn,android,iphone,ipad,sex,xxx, | Desi | paki "
neither,"porn,android,iphone,ipad,sex,xxx, | Desi | paki "
neither,"porn,android,iphone,ipad,sex,xxx, | Teen | Cutie lesbian teens toy slits "
neither,portlandia putabirdonit mightymouse The Xbox One would be so much cooler if they put a bird on it
neither,redneck tow truck. johndeere  america 
neither,"rejectedpeanutsspecials Its The Grape Crackhead, Charlie Brown"
neither,southcarolina has a highschool graduation rate near % and that's why they have so many uninformed teabaggers morningjoe
neither,stateoftheunion would last mins if they let the President talk all that standing up clapping is for the birds
neither,tbt my precious gook baby  outtapocketjuju 
neither,tbt when i took my likkle monkey jimmys 
neither,"teabagger state like mississippi opposed to minimum wage, child labor laws, unions, is proscab, sweatshop work  pretty much SLAVERY."
neither,tikiti  rough mock for the base of what will eventually be an ashtray  Tiki Ti 
neither,uppers loving the show this morning. Chris is directing the conversation beautifully. Make the teabaggers talk
neither, GottliebShow Killer line? SBNationNBA Josh Smith dropped a killer trash talk line on Kenneth 
neither, plus Sheryl crow 
neither,Err GOALSminded its true that the early bird.. gets the worm first
neither, hiho 
neither, maaaaannnn i hope so ABrown VonshayeB did we get rid of John Legend looking Charlie Batch?
neither, mike calls me tbird mikemastroccco
neither, we snap chatted for one night lol. But you're cute. Snapchat me back nig
neither,"

whatskillfeed i guess ill just trash this drawing because of roster changes..."
neither, my nerves are being worked cos of my monkey 
neither, monkey mad
neither, KingHov At work imma real Uncle Tom
neither,lbum de fotos csitaly [TS]Fairy Tail  Satan Soul Mirajane Strauss made with The Sims . Happy... 
neither,Chillin With My Homie Or Whats Left Of Him British Rapper Turned ISIS Jihadi Poses With Severed Head 
neither,ATrueCowboy Truth about any distance for all you love birds out there 
neither,"ABrown Frogger, best game ever only cuz You suck at flappy bird"
neither,AbstractLife NigelDixon SeanTHarrington Orton is trash idc he ain't been playing. Trashlex Smith only sat out Kaep took his spot.
neither,AdderallHadMe Adderall had me killing two birds with one stone
neither,Amburger Wtf is flappy bird are you kidding me
neither,AntiGlib nateyfu Yankees Michael Pineda in his next start..
neither,AshlynWynns I'm a mud shark because I have black friends. Makes perfect sense.  idiotic 
neither,AshtonSOS An itsy bitsy teeny weeny yellow pockadot bikini Polk Ashton. Polk
neither,AustinMahone just got a new fish it's albino and I named him shaquita yee bahaha
neither,BasebaIIVines Michael Pineda hides pine tar...on his neck  fact that the Yankees cheat  Go Red Sox Boston
neither,BeautyOfASinner So they really deleted flappy bird from the App Store cus someone killed themselves over it  foreal foreal ?? 
neither,BestOfAds Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales  man wtf
neither,BobbyBudnic Oxtails and yellow rice is blasphemy boneless
neither,BurgerKing Whats going to be your pick for SelectionSunday? for WatchLikeaKing Dis make colored folk happy
neither,CMRE wasnt that great to me either Ahki Equalizer was trash Denzel officially washed bruhneither was flight
neither,CRYaboutitNIGGA I get paid too chill. Share the wealth Lil nicca
neither,CaptainYankee Two of the best Yankees Derek Jeter and Joe Torre JoeTorreDay  jordanluree
neither,CommonBlackGirI heres to all the kids who have never found their name on anything in a souvenir store thanks mom for the ghetto name.
neither,CommonManKFAN And that's why mock drafts are a joke my friends.....Anyone???
neither,DIYcookery Oreo cookies 
neither,"DShmee Tom Brady slowly becoming washed?

Nah.. His weapons just trash"
neither,Deuce What will the Lakers be after kobe trash
neither,ElGrillo Islamic State suspects in Indonesia are Chinese Uighurs Uighur Jihadis they're not just a PRC tool.
neither,GianneNichole Lakers really trash.
neither,GreatGawd Name something trash Cavs
neither,HeyKeifer Golden Oreos  regular Oreos  YES
neither,HeyKeifer Oreos are basically dicircles with cream. True.
neither,HumbleTeej elisabethepps where am I on this rating scale??? Depends. You still wearing them colored contacts or naw?
neither,Iifetip Kit Kat brownies. By making.
neither,ImToBlame Bruh PriscoCBS Trent took the yellow path
neither,JayGorgeous i need more beaniesjust ordered two true religion ones lol
neither,JohnelHadleyJr Uncle Charlie just got thru lip singing?haha
neither,JuanNdaCut When twitter rappers dm me their trash links
neither,JukeJuke Lance Stevenson gone leave Indiana he trash anyway
neither,"JuniorMaye A lot of them are though. Attitudes be pure trash

TeamWhiteGirls 
SwirlTheWorld"
neither,KarynHalpin Where do all the foreskins go when they circumcise a guy? the Foreskin Fairy takes them after you put them under your pillow
neither,KikClean Brah Wiz cheated  she had hair like a dyke..... Uh.. Duh?
neither,"KingSM If Howard elbow bosh, will bosh fight back? don't have to got mcbob bird and UD"
neither,LastWordEvan An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. Yankees MLB OMG. Feel an ulcer.
neither,MannyBDlopez When you open your starburst candy and get  yellows  lmao bruh
neither,MomMeMustHaves MMMH Daily is out Stories via KristinCruz ExMoShow yellow is IN amp romyraves luv the bling
neither,OGBEARD Some of y'all bios are trash. Mine pretty good
neither,"PlMPCESS In the fashion world urban means stolen from black people its ghetto on us, and urban on them haha  "
neither,"PrayForJack I survived swine flu, bird flu, west nile and the Bloomberg administration. I'll be finethe abortion survival. Cant get that"
neither,PubesOnFleeK My tweets trash
neither,Queendev My leave out is trash  u sick
neither,RaleighBeougher dumb beaner 
neither,RudeNation When girls take my snap backs and beanies lol that's  dollars a hat and  for the AX beanieS I don't let them take it
neither,SarabiaErik I just accidentally ate a pot brownie. I guess there goes my pledge of being drug free for life . lolz . Lmao College
neither,SexualMedic How I feel when I'm throwing trash away? everyday in school.
neither,ShesSoBlessed Oreos And Milk 
neither,TWOLVEGIRL I find myself wanting to google the yellow king TrueDetective No kidding What is going on?
