Annotation,text
offensive, mleew boy dats cold...tyga dwn bad for cuffin dat hoe in the st place
offensive, UrKindOfBrand Dawg sbabylife You ever fuck a bitch and she stato cry? You be confused as shit
offensive, CGAnderson vivabased she look like a tranny
offensive, ShenikaRoberts The shit you hear about me might be true or it might be faker than the bitch who told it to ya 
offensive,TMadisonx The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes 
offensive,BrighterDays I can not just sit up and HATE on another bitch .. I got too much shit going on
offensive,selfiequeenbri cause Im tired of you big bitches coming for us skinny girls
offensive, amp you might not get ya bitch back amp thats that 
offensive, Keeks is a bitch she curves everyone  lol I walked into a conversation like this. Smh
offensive, Murda Gang bitch its Gang Land 
offensive, So hoes that smoke are losers ?  yea ... go on IG
offensive, bad bitches is the only thing that i like 
offensive, bitch get up off me 
offensive, bitch nigga miss me with it 
offensive, bitch plz whatever 
offensive, bitch who do you love 
offensive, bitches get cut off everyday B 
offensive, black bottle amp a bad bitch 
offensive, broke bitch cant tell me nothing 
offensive, cancel that bitch like Nino 
offensive, cant you see these hoes wont change 
offensive, fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up
offensive, got ya bitch tip toeing on my hardwood floors   t.co/cOUWQLq
offensive, her pussy lips like Heaven doors  
offensive, hoe what its hitting for 
offensive, i met that pussy on Ocean Dr . i gave that pussy a pill  
offensive, i need a trippy bitch who fuck on Hennessy 
offensive, i spend my money how i want bitch its my business 
offensive, i txt my old bitch my new bitch pussy wetter 
offensive, id say im back to the old me but my old bitches would get excited  
offensive, if you aint bout that Murder Game pussy nigga shut up 
offensive, if youre toes aint done you pussy stinks 
offensive, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that 
offensive, is that ya bitch 
offensive, it aint nothing to cut a bitch off 
offensive, jus meet son now he ya mane ass bitches  Shots
offensive, lames crying over hoes thats tears of a clown 
offensive, like Snoop said in  we dont love these hoes 
offensive, most hated but the hoes favorite  MW SevenOne  t.co/BMdSVMcrC
offensive, nice girls bad make me get naughty. Bad yello hoe real nice body. Down south chick like em real thick t.co/bzRDlkFU
offensive, pimps up pimps up hoes down  Future voice
offensive, post a picture of that pussy get  likes 
offensive, pussy is a powerful drug   HappyHumpDay t.co/RjsymiBb
offensive, quick piece of pussy call it a drive by 
offensive, running round here like some brand new pussy thats bout to get fucked 
offensive, these bitches even worst theyll send them guys for you 
offensive, these hoes like niggas that spend money not talk bout it 
offensive, we dont trust these niggas all these bitches 
offensive, yall niggas b cuffing hoes cause yall aint never have bitches 
offensive, you dodge a bullet   DaRealKha All da bitches I cut off pregnant or bound to be ....thank God 
offensive, young Pill Chamberlain these bitches love my music 
offensive,VandalSavage Teanna Trump probably cleaner than most of these twitter hoes but.........
offensive,DaHomieFuzz Gay niggas couldnt wait to act like bitches tonight
offensive,TheParadox And ima steal his cat n replace it with a pitbull  sbabylife TheParadox He a bitch you should do it
offensive,amp hes gone always be a hoe
offensive,..All I wanna do is get money and fuck model bitches  Russell Simmons
offensive,seniorprobs I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers. Retweet
offensive,AXDemery Im a fucking fag they said
offensive,ARIZZLEINDACUT Females think dating a pussy is cute now? t.co/VxBJgGsz how does doing this stuff make him a pussy?
offensive,AdoreBellaaa Have ya ever asked your bitch for other bitches  kanye voice Yes
offensive,AdoreZoey How u gone bring ur side bitch to a game where You know Ya gf friends at ?  I SWEAR
offensive,Almightywayne JetsAndASwisher Gook bitch fuck u t.co/pXmGANC maybe youll get better. Just t.co/TPreVwfqS
offensive,Almightywayne Fuck Red Malone man bitch ass niggah could you please use complete sentences?
offensive,AutoWorId Hennessey Venom GT  t.co/ieGMnKaJ thats one sexy bitch
offensive,BOSSBYTCHH Him seh me pussy wetter then a shower curtain....ahmesehwetnessltlmao
offensive,BROHEN Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit
offensive,"BVSEDCHINK Yo fuck skateboarding all yall some wood pushing faggots man ball is life t.co/VBCzPHMT
AmJemieBenn"
offensive,BaylaaGottaBody  I aint shit . Damn Skippy lol
offensive,BeEasyJrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b gtchance
offensive,BeenBasedB KudaBrazyy t.co/LuUBGLYu  rings  mvps  bitches lol
offensive,BeenFLYnSolo ppl talk bad about the ghetto/hood ... but as a kid growing up a nigga had funnnnnnn 
offensive,BestProAdvice The facts on tattoos...tattoo t.co/ZwnbhpDZe hes a pussy with not tattooing them nipples
offensive,Bill  nelayden Bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches..
offensive,BitchJones Get worshiping bitch t.co/RCejCjou woof woof
offensive,BlackChiquitita Wow. thatmanpalmer Im lost. Are those buttcheek piercings? t.co/ynguyOUQ yeah shes a hoe
offensive,BlackNerdJade Ok sis. Shed rather be a broke bitch? shrugs shell have to tell me how it works for her
offensive,BrokenPiecesmsc ItsNotAdam faggot read my tweets after dat k it wasnt even funny lol
offensive,BrosConfessions This bitch was so ungrateful t.co/ebGwbx fr ..... LULWHORE
offensive,CASHandBOOBIES I been kidnapped yo bitch
offensive,CCobey AydanMcCoy happy birthday nigs Thanks yo
offensive,CHlLDHOODRUINER when ur teacher tells u that u have homework st.co/RKkvawIj this bitch need to go
offensive,CaelanG EdHam CaelanG that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul.. t.co/OSIpBKPrh
offensive,CanIFuckOrNah What would yall lil ugly bald headed bitches do if they stop making makeup amp weave?
offensive,CarelessOne Leafs better win this damn game so I can go riot and shit EarlyChristmas you better stalooting my nig
offensive,CauseWereGuys Going back to school sucks more dick than the hoes who attend it.
offensive,CauseWereGuys On my way to fuck yo bitch t.co/jTzER me as a  year old
offensive,CeleyNichole whitethunduh how come you never bring me food i dont have a car retard
offensive,ChadMFVerbeck If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like  prople
offensive,ChandlerParsons How bout them Cowboys Shutup pussy
offensive,ClicquotSuave LMAOOOOOOOOOOO this nigga KrillzNuhCare t.co/AAnpSUjmYI ltbitch want likes for some depressing shit..foh
offensive,ColeyCee lilaerii girl you know I was spitting that G shit to you amp you was going lbvsbitch plz
offensive,ColeyCee Let me make a couple tweets off cuzzo page so I wont get in twitter jail.lmao bitch dont trick me again
offensive,ComedyPosts Harlem shake is just an excuse to go full retard for  seconds.
offensive,ComedyTruth amen miley  t.co/PKbtfyxrokay but she dont need to act like a hoe just bc shes emotionally damaged foh
offensive,CoryBandz having one loyal female is wayyyyy better than having hoes  idc 
offensive,"Crhedrys Pussy licking pussy.... meow meow StopWhitePeople  st.co/KeegDCjSK

"
offensive,DBABHolloway Check out our th man. CowboysNation even with all those faggot ny fans in the stands
offensive,DGotBricks What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
offensive,DaeDaviDavie whitethunduh im the bitch okay nudes pat  wow
offensive,DiamondLoudKush The fuck be wrong with these bitches? Nobody knows
offensive,Dietrich Yall shut upp make me bitch
offensive,DionaIrish I hate a Im pregnant type of bitch.
offensive,DoYouQ Got bitches in the DM but I dont ever readem which is y your top 
offensive,Dommoneek Little stupid as bitch I dont fuck with yoooooouuuu..
offensive,DreadheadAri she really asked me that dead ass serious tho all i could say was bitch wheet LOL
offensive,FerociousGhost stNameBravo Aw. ...fag dont tweet aw to me lol
offensive,Frosstyy hrheyd I didnt say anything tho kiss me then faggot
offensive,GStatus I could go for a fat ass bitch on my lap same
offensive,GEDMelle  missed calls Das yo P.O bitch twitter finna be screamn FreeMoneyMelle
offensive,GTMAl Ya side bitch gotta know its rules to this shit..anybody ask you my cousin from jersey thinkin bout moving lmmfao 
offensive,GagaTom MaleFoot   Amo los pies t.co/QEhDkKi fuck yeah
offensive,GirlThatsVonte These hoes be thinking Meat wont slap they ass  ainna bruh
offensive,GirlThatsVonte Yall bitches wit no edges be doing the most talking 
offensive,GirlThatsVonte Yall still going trick or treating this year or nah?hell yeah ima be da sweet tooth bandit steal bitches bags n shit
offensive,Girllssues I wanna have sex with my mom fuck her right in that pussy where I came from damn you got hacked like fuck
offensive,GizzyJones If she kiss u with her eyes open watch that bitchlmfao
offensive,Goofstroop You a woulda coulda shoulda ass hoe 
offensive,GottiLTF Happy Bday Bitch Ass Nigga JetsAndASwisherpreciate that bitch roll up
offensive,HBMostDope Jayee PipinHoes used to send that bitch up
offensive,HBMostDope Ugly bitches be like Im my own WCW duh bitch you aint nobody elses
offensive,HaloTGMG stNameBravo nigga you know we hacky sack hoes. ...nah I throw no look passes lmao
offensive,HeartlessFuck Glad Im getting outta Atlanta. Nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em.
offensive,HiImJoriB I would wife a hoe only cuz we wouldnt care that we cheating in each other. ...why force the relationship in the first place?
offensive,HornyFacts Being single isnt an excuse to be a hoe. TheOneMissLuu
offensive,HoskinsTy White boy power bitch black power bitch
offensive,Hudgens Lets get drunk get blowed spit shit spark blunts amp fuck hoes Bro white dudes have no chill.
offensive,IScoutGirls verballyabrupt bitch where u been Around the world and back. Where you been?
offensive,ItsYahBoiRay anelylove if I dont get my dick sucked at yo party by a bad bitch Im fr gone set it off  by anelylove 
offensive,Itsyesie oomf is soooo cute. But he probably has hoes on him a lot.
offensive,JAYten In every cartoon theirs alway a nuffsaid saving these hoes lmao. t.co/uKDwtZx lmao damn captain SaveAHoe
offensive,JamesyNBA I wish I was a bitch like my brother keezy  ooooow I bet you do
offensive,JasminePore If you dressed up as a cat for Halloween you are basic. ...or a pussy
offensive,Jewelxo Can pornhub just get a gaming stream feature so these dumb bitches can gtfo Pornhub get on it Katielt
offensive,JoeBudden stop being scared to choke her during sex u bitch ass niggas. Shell like it.. Says the guy who hits women out of bed. FOH
offensive,JohnnyPerez whitethunduh ha well iguess I make them hoes loyal bro theyll never be loyal that y they hoes my nig
offensive,KazAtta TAKEHOV Oh man.. its  am you off a molly ho where the fuck ya seed at?? fixed
offensive,KelsieBelsi Youre not a man if you refer to every girl as a bitch
offensive,KeyshawnSwag Lmfao this cat started beating the shit out of me my nigga finally got some pussy?? MY NIGGA
offensive,KingCuh stanleys io io alu record ho vine sai pe hahahaha lol anywaaaaaays..... haha
offensive,KingHendo VonDreaam naw its my old tape. new cover . my upcoming mixtape is KingOfTheHill Yeah Im waiting on that hoe Mayne
offensive,KingTeej Ol dirty foot ass bitches.. this was too funny to me.
offensive,KingShawn whitethunduh thats where I get my yellow flags for being amazing  HELL YEAH NIGGY
offensive,KissMySmilee Dont got time for bitches to be actin iffy.
offensive,"KyraNadiya These hoes aint loyal  no they aint t.co/hUBsVbkGl

Smfh amp wonder why nobody decent wants them"
offensive,LCisTJ Bruh you studs keep thinking Im soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU. BYE HOE
offensive,LODYCASH dry pussy bitches always blame it on the condom
offensive,LUNAraps shut yo bitch ass up st.co/IemNugm 
offensive,LaFlareGodJosh Gucci Mane in jail and dropping mixtapes every month and you hoes cant even text back
offensive,Latrobemark You love these hoes more then money wats wrong these niggas
offensive,LeBronVuitton A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo. ...sounding like me over there lol
offensive,LiLFridayHOE Easy cum easy hoe Thats a fact 
offensive,LifeAsBros Charlie Sheen is too real t.co/gGGdKkOV major fucking respect for Charlie Sheen.
offensive,"Lightskingawdd Wish I had a bae 

You got all the hoes tho"
offensive,LilMike Fuck twerking bitch can you cook ?
offensive,Linniekravitz WesGodLaFlare bitch wtf t.co/DaSmycxODB
offensive,LipetheGreat hrheyd LipetheGreat Shut up zoe fight me pussy for zoe? Im good man. You are good maam. Move along now
offensive,LolaaIsDope Lmao fucking snake bitches  em
offensive,LoveableAizah Big booty hoes everywhere sheesh  damn 
offensive,MadFlyentist Oregon chokes every year get off the field trash ass program RFT
offensive,MannyDiesel Def not cowboy lol ArtofFloyd Terrell Owens was the best Eagle amp Cowboy ever ..dude cried like a bitch on tv over Romo
offensive,Master ToLife GabrielaStarr How could u do this to me bitch potent
offensive,MegamindNick whitethunduh nah fam I gotta cheat with the hoes depends on the female i feel
offensive,Migsmichelen This new twitter is confusing the shit out of me. Go back to south america bitch
offensive,Miikitox Toto means ass or vagina?I think pussy cause toto santi is like nasty pussy
offensive,MikelaHenry but what if he actually does choose the ugly bitch over you? Her ass must be fat
offensive,MileyCyrus bitch couldnt kill my vibe if ya tried.  dis why i love miley 
offensive,Montrell Im tired of bitches saying I look mean..  nigga you big af wear tight shirts and grim everybody.
offensive,MvckFadden Stay beautiful you bitch
offensive,"NICKIMINAJ WutKinda

r purple. Ceeeleeeman this gurl was jus playin on the stupid hoe  track. But in still shitted on sum gurls"
offensive,NastyCopper Money getting taller and bitches getting blurry
offensive,NewsomeJade I aint never seen a bitch so obsessed with they nigga Im obsessed with mine 
offensive,Nicholasted Kobe stay talking trash. But lets not forget t.co/VHtnEkvTP JAustin I meant to do this one. Smh.
offensive,NoFAKINGG People always asking me what Im mixed with. She a bad asian bitch lol
offensive,OfficialReplay I am lowkey tired. ...if you tired be quiet and go to sleep hoe
offensive,PRAYINGFORHEAD macklemroe Stop bringing weird niggers into my mentions PRAYINGFORHEAD t.co/cussDJesRK
offensive,PRETTyBOSsBRAt We dont love these hoes 
offensive,PatrickQuelo If yo girl cant have homeboys you a ol weak bitch ass nigga
offensive,Patsfanjoe dpalomino I think worst advice I gave you was  dont be a pussy and speed up lol
offensive,PoemsPorn Quote this tweet with your favorite animal.pussy
offensive,PoeticSuccess I hate when strippers tell you theyre dancers. Hoe ballet dancers dont pop their pussy to Beethoven. You a STRIPPER
offensive,"Poffalicious Andrewbryant Poff has double vision after  beers
Poff ... Double pussy  smh"
offensive,"Poobie When bitches TWERK on the computer....

ME In ya  in ya damn "
offensive,ProdsJewel sreadthepeace yungmindless PeacePunkPrince Prince THIS is art. t.co/EPHRWxMBHr nobody takin his bitch
offensive,QUANT These bitches dont care they just play that role.
offensive,"QueenKaaat It took a while for you to find me but I was hiding In the lime tree.
Iemonaids dis bitch in da wrong tree bro."
offensive,ReachtheeCLIMAX bitches cant cook but know how to suck dick .. s/o to the ones that can do both
offensive,RenegadeMo Fat hoes get chose lol
offensive,RiahSM hoesaintloyal well theyre hoesno one expects them to be loyal
offensive,RishaaWilliams TRESHONSCROOGE Nevertrustt ol bitch ass t.co/AmcOinYwG
offensive,RnadJorell Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad lmaooo
offensive,SacTownProdigy Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls lol bitch fuck you
offensive,"SamJLayman  Holy shit Freddie Highmore was in Charlie and the Chocolate Factory
Me rolls on the floor laughing"
offensive,Samirahusic I dont want to have sex with my gf because I feel like Im using her..  anonymous Whata faggot
offensive,SexualGxfs  One of your followers with this  t.co/FTJlxnCT  somebody bitch if you dont
offensive,ShaaJenkins If ya bitch always bitching clearly she care Or just an annoying Bitch
offensive,ShanTaughtHer These catfish hoes thinkin they slick.. But niggas catching on 
offensive,SheWentToJordan Cant worry about a bitch that aint worried bout me real
offensive,ShowArrive Side hoes are for insecure niggas that cant handle a real one.
offensive,Shunstokes bluprint Lmao This bitch come scooting in the tent like she about to fuck some shit up 
offensive,Shunstokes My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers 
offensive,SlimGirlProbz im hungry but ionn wanna spend my money on foodBroke hoe problems 
offensive,SmeegBaby Dese hoes be LYIN to all of us nigga
offensive,SnakecharmsDump t.co/bdQZCV oh yeah fuck that bitch
offensive,StellaTex Guess what? I also have zero time for your mansplaining Adios Stfu pussy
offensive,Strap I aint sharing no bitch if you mines you mines 
offensive,SukMySweetness money only impress the simple broke bitches
offensive,Sylvieamx Pisces will never be anybodys bitch they dont let people control or change them. Rigghhht
offensive,TayKnosBest These hoes is crazy
